cache_key,text,voice_id,speed,cdn_url,storage_url,source_ref,record_id,field
elevenlabs|el:lily|0.85||a long ruler,a long ruler,el:lily,0.85,https://audio.bigmooneducation.com/60/60b07b796a18a45357e31a7498e234be24aa445924686cfebb126d9fa87251ed.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/60/60b07b796a18a45357e31a7498e234be24aa445924686cfebb126d9fa87251ed.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[0].chunks[0],chunks.en
elevenlabs|el:lily|0.85||my ruler,my ruler,el:lily,0.85,https://audio.bigmooneducation.com/5e/5e4cf0ec095266fea41d00cf46b6b08eb649333acf18bffe24d1d20d030b0f14.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/5e/5e4cf0ec095266fea41d00cf46b6b08eb649333acf18bffe24d1d20d030b0f14.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[0].chunks[1],chunks.en
elevenlabs|el:lily|0.85||use a ruler,use a ruler,el:lily,0.85,https://audio.bigmooneducation.com/d5/d58f8eee25236bd575da499854c203afe3751bb34d9c2893ba0b4dfd1aafa3db.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/d5/d58f8eee25236bd575da499854c203afe3751bb34d9c2893ba0b4dfd1aafa3db.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[0].chunks[2],chunks.en
elevenlabs|el:lily|0.85||a new pencil,a new pencil,el:lily,0.85,https://audio.bigmooneducation.com/9c/9cf49ac7eef22ab4fb3794f20fa7a65c870d8d84d0f46849a83ef22ba84f18cc.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/9c/9cf49ac7eef22ab4fb3794f20fa7a65c870d8d84d0f46849a83ef22ba84f18cc.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[1].chunks[0],chunks.en
elevenlabs|el:lily|0.85||my pencil,my pencil,el:lily,0.85,https://audio.bigmooneducation.com/42/42a97d0ad3d4c522b37990aca802655cfa891eb55341804a400d9441cca38ea2.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/42/42a97d0ad3d4c522b37990aca802655cfa891eb55341804a400d9441cca38ea2.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[1].chunks[1],chunks.en
elevenlabs|el:lily|0.85||a red pencil,a red pencil,el:lily,0.85,https://audio.bigmooneducation.com/6c/6c36dc460e1f406f3eabecdfe4a649af41e8ad00cd9495f0b6ddac5170003cd7.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/6c/6c36dc460e1f406f3eabecdfe4a649af41e8ad00cd9495f0b6ddac5170003cd7.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[1].chunks[2],chunks.en
elevenlabs|el:lily|0.85||a small eraser,a small eraser,el:lily,0.85,https://audio.bigmooneducation.com/2c/2c192e951bd9c946fc0af19c407801a2e32076c68003f3df10341b0466dc17a9.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/2c/2c192e951bd9c946fc0af19c407801a2e32076c68003f3df10341b0466dc17a9.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[2].chunks[0],chunks.en
elevenlabs|el:lily|0.85||my eraser,my eraser,el:lily,0.85,https://audio.bigmooneducation.com/f0/f0c5bd2f33f32203aa6440d784af787a1d0e42df95b8f81637ea3f18ecf4629b.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/f0/f0c5bd2f33f32203aa6440d784af787a1d0e42df95b8f81637ea3f18ecf4629b.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[2].chunks[1],chunks.en
elevenlabs|el:lily|0.85||a new eraser,a new eraser,el:lily,0.85,https://audio.bigmooneducation.com/50/502286259e720f55a3f70a146b7d63c37bd4b7bc801848f58a3d3786d93ed441.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/50/502286259e720f55a3f70a146b7d63c37bd4b7bc801848f58a3d3786d93ed441.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[2].chunks[2],chunks.en
elevenlabs|el:lily|0.85||a red crayon,a red crayon,el:lily,0.85,https://audio.bigmooneducation.com/09/09efeeca13bea92eabddf27fa20ebca9d86eb68ebe5c81b02f92c11087ec72e1.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/09/09efeeca13bea92eabddf27fa20ebca9d86eb68ebe5c81b02f92c11087ec72e1.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[3].chunks[0],chunks.en
elevenlabs|el:lily|0.85||my crayon,my crayon,el:lily,0.85,https://audio.bigmooneducation.com/e4/e4ca96a5b237aa71ee828f032b9ff33885c9780aba821ac9378b5746aa163bb5.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/e4/e4ca96a5b237aa71ee828f032b9ff33885c9780aba821ac9378b5746aa163bb5.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[3].chunks[1],chunks.en
elevenlabs|el:lily|0.85||a box of crayons,a box of crayons,el:lily,0.85,https://audio.bigmooneducation.com/fd/fd7bd0db6243f8fd1cfbea715d077675e2bd532be4e1d58ca57fb9c6588cf768.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/fd/fd7bd0db6243f8fd1cfbea715d077675e2bd532be4e1d58ca57fb9c6588cf768.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[3].chunks[2],chunks.en
elevenlabs|el:lily|0.85||my bag,my bag,el:lily,0.85,https://audio.bigmooneducation.com/c5/c5ac80b8ef3817ed4716e7cf88553d7ae06d29c156a6a9c2c50ded4fe1f3ede7.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/c5/c5ac80b8ef3817ed4716e7cf88553d7ae06d29c156a6a9c2c50ded4fe1f3ede7.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[4].chunks[0],chunks.en
elevenlabs|el:lily|0.85||a new bag,a new bag,el:lily,0.85,https://audio.bigmooneducation.com/06/060b33da6b0e24898a706283bebfddab7a8f947d7f49e3cf0d81dddee595350f.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/06/060b33da6b0e24898a706283bebfddab7a8f947d7f49e3cf0d81dddee595350f.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[4].chunks[1],chunks.en
elevenlabs|el:lily|0.85||a school bag,a school bag,el:lily,0.85,https://audio.bigmooneducation.com/e9/e960aa731304ca83164ed69e46c2f7e67c76ab5612e2334fd5a33b57004c272d.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/e9/e960aa731304ca83164ed69e46c2f7e67c76ab5612e2334fd5a33b57004c272d.mp3,src/data/primaryHub/grade3.json,g3v1_u1#vocab[4].chunks[2],chunks.en
