key,text,status,cdn_status,bytes,needs_purge,reason,attempts,provider
elevenlabs|el:lily|0.7||lecture,lecture,created,200,33408,no,,1,openai
elevenlabs|el:lily|0.7||register,register,created,200,34560,no,,1,openai
elevenlabs|el:lily|0.7||registration,registration,created,200,38016,no,,1,openai
elevenlabs|el:lily|0.7||nationality,nationality,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.7||campus,campus,created,200,47232,no,,1,openai
elevenlabs|el:lily|0.7||anxious,anxious,created,200,28032,no,,1,openai
elevenlabs|el:lily|0.7||annoy,annoy,created,200,28032,no,,1,openai
elevenlabs|el:lily|0.7||annoyed,annoyed,created,200,38016,no,,1,openai
elevenlabs|el:lily|0.7||frightened,frightened,created,200,38016,no,,1,openai
elevenlabs|el:lily|0.7||impress,impress,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||concentrate,concentrate,created,200,34560,no,,1,openai
elevenlabs|el:lily|0.7||awkward,awkward,created,200,54144,no,,1,openai
elevenlabs|el:lily|0.7||junior,junior,created,200,38016,no,,1,openai
elevenlabs|el:lily|0.7||strategy,strategy,created,200,33408,no,,1,openai
elevenlabs|el:lily|0.7||revise,revise,created,200,40320,no,,1,openai
elevenlabs|el:lily|0.7||female,female,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||male,male,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.7||sex,sex,created,200,41472,no,,1,openai
elevenlabs|el:lily|0.7||ballet,ballet,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||debate,debate,created,200,23424,no,,1,openai
elevenlabs|el:lily|0.7||content,content,created,200,28032,no,,1,openai
elevenlabs|el:lily|0.7||movement,movement,created,200,26880,no,,1,openai
elevenlabs|el:lily|0.7||greenhouse,greenhouse,created,200,64512,no,,1,openai
elevenlabs|el:lily|0.7||suitable,suitable,created,200,32640,no,,1,openai
elevenlabs|el:lily|0.7||freshman,freshman,created,200,34560,no,,1,openai
elevenlabs|el:lily|0.7||confuse,confuse,created,200,52992,no,,1,openai
elevenlabs|el:lily|0.7||fluent,fluent,created,200,69120,no,,1,openai
elevenlabs|el:lily|0.7||advanced,advanced,created,200,26880,no,,1,openai
elevenlabs|el:lily|0.7||advance,advance,created,200,26880,no,,1,openai
elevenlabs|el:lily|0.7||extra-curricular,extra-curricular,created,200,56448,no,,1,openai
elevenlabs|el:lily|0.7||extra,extra,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.7||obviously,obviously,created,200,36864,no,,1,openai
elevenlabs|el:lily|0.7||quit,quit,created,200,23424,no,,1,openai
elevenlabs|el:lily|0.7||schedule,schedule,created,200,9600,no,,1,openai
elevenlabs|el:lily|0.7||editor,editor,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.7||survival,survival,created,200,42624,no,,1,openai
elevenlabs|el:lily|0.7||generation,generation,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||addicted,addicted,created,200,31488,no,,1,openai
elevenlabs|el:lily|0.7||addict,addict,created,200,22272,no,,1,openai
elevenlabs|el:lily|0.7||castle,castle,created,200,20736,no,,1,openai
elevenlabs|el:lily|0.7||visa,visa,created,200,24576,no,,1,openai
elevenlabs|el:lily|0.7||rent,rent,created,200,26880,no,,1,openai
elevenlabs|el:lily|0.7||amazed,amazed,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.7||arrangement,arrangement,created,200,36864,no,,1,openai
elevenlabs|el:lily|0.7||extremely,extremely,created,200,40320,no,,1,openai
elevenlabs|el:lily|0.7||source,source,created,200,26880,no,,1,openai
elevenlabs|el:lily|0.7||empire,empire,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.7||site,site,created,200,31488,no,,1,openai
elevenlabs|el:lily|0.7||view,view,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||statue,statue,created,200,36096,no,,1,openai
elevenlabs|el:lily|0.7||tomb,tomb,created,200,36096,no,,1,openai
elevenlabs|el:lily|0.7||unearth,unearth,created,200,23424,no,,1,openai
elevenlabs|el:lily|0.7||flight,flight,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.7||accommodation,accommodation,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||unique,unique,created,200,24576,no,,1,openai
elevenlabs|el:lily|0.7||path,path,created,200,23424,no,,1,openai
elevenlabs|el:lily|0.7||destination,destination,created,200,32640,no,,1,openai
elevenlabs|el:lily|0.7||architecture,architecture,created,200,28032,no,,1,openai
elevenlabs|el:lily|0.7||architect,architect,created,200,31488,no,,1,openai
elevenlabs|el:lily|0.7||brochure,brochure,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.7||economy,economy,created,200,33408,no,,1,openai
elevenlabs|el:lily|0.7||economic,economic,created,200,24576,no,,1,openai
elevenlabs|el:lily|0.7||fitness,fitness,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.7||soccer,soccer,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||boxing,boxing,created,200,22272,no,,1,openai
elevenlabs|el:lily|0.7||track,track,created,200,38016,no,,1,openai
elevenlabs|el:lily|0.7||gymnastics,gymnastics,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||sweat,sweat,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||legend,legend,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.7||glory,glory,created,200,23424,no,,1,openai
elevenlabs|el:lily|0.7||champion,champion,created,200,38016,no,,1,openai
elevenlabs|el:lily|0.7||championship,championship,created,200,36864,no,,1,openai
elevenlabs|el:lily|0.7||determination,determination,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||apart,apart,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.7||injure,injure,created,200,52992,no,,1,openai
elevenlabs|el:lily|0.7||injured,injured,created,200,22272,no,,1,openai
elevenlabs|el:lily|0.7||graceful,graceful,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.7||compete,compete,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||error,error,created,200,20736,no,,1,openai
elevenlabs|el:lily|0.7||magnitude,magnitude,created,200,31488,no,,1,openai
elevenlabs|el:lily|0.7||damage,damage,created,200,28032,no,,1,openai
elevenlabs|el:lily|0.7||evacuate,evacuate,created,200,26880,no,,1,openai
elevenlabs|el:lily|0.7||ruin,ruin,created,200,40320,no,,1,openai
elevenlabs|el:lily|0.7||brick,brick,created,200,41472,no,,1,openai
elevenlabs|el:lily|0.7||trap,trap,created,200,26880,no,,1,openai
elevenlabs|el:lily|0.7||bury,bury,created,200,18816,no,,1,openai
elevenlabs|el:lily|0.7||revive,revive,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.7||unify,unify,created,200,22272,no,,1,openai
elevenlabs|el:lily|0.7||volcano,volcano,created,200,36864,no,,1,openai
elevenlabs|el:lily|0.7||erupt,erupt,created,200,36096,no,,1,openai
elevenlabs|el:lily|0.7||hurricane,hurricane,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.7||deliver,deliver,created,200,23424,no,,1,openai
elevenlabs|el:lily|0.7||crash,crash,created,200,39168,no,,1,openai
elevenlabs|el:lily|0.7||sweep,sweep,created,200,36864,no,,1,openai
elevenlabs|el:lily|0.7||strike,strike,created,200,41472,no,,1,openai
elevenlabs|el:lily|0.7||civilisation,civilisation,created,200,36096,no,,1,openai
elevenlabs|el:lily|0.7||carve,carve,created,200,22272,no,,1,openai
elevenlabs|el:lily|0.7||shell,shell,created,200,24576,no,,1,openai
elevenlabs|el:lily|0.7||dialect,dialect,created,200,56448,no,,1,openai
elevenlabs|el:lily|0.7||means,means,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||regard,regard,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.7||variety,variety,created,200,36096,no,,1,openai
