word_id,word,pos,meaning_cn,stage,grade,volume,unit,source_type,source_page,confidence
jr-7A-SU1-0001,afernoon,,、 /{ft@rnu:n/ n. 下午 p.S3 Good afternoon! 下午好！,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0002,Alice,,艾丽斯（女名）,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0003,am,v.,是,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0004,are,v.,是,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0005,BBC,,英国广播公司,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0006,Bob,,、 /bA:b/ 鲍勃（男名）,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0007,CD,,光盘；激光唱片,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0008,Cindy,,辛迪（女名）,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0009,Dale,,戴尔（男名）,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0010,Eric,,埃里克（男名）,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0011,evening,n.,晚上；傍晚 p.S3 Good evening! 晚上好！,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0012,fine,adj.,健康的；美好的,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0013,Frank,,弗兰克（男名）,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0014,good,adj.,好的,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0015,Grace,,格雷丝（女名）,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0016,HB,,（铅笔芯）硬黑,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0017,Helen,,海伦（女名）,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0018,hello,interj.,你好；喂,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0019,hi,interj.,（用于打招呼）嗨；喂,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0020,how,adv.,怎样；如何,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0021,I,pron.,我,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0022,morning,n.,早晨；上午 p.S1 Good morning! 早上好！,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0023,OK,adj.,& adv. 安然无恙,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0024,thanks,interj.,& n. 感谢；谢谢,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU1-0025,you,pron.,你；你们 p.S3 How are you? 你好吗？,junior,7,7A,SU1,wordlist,117,high
jr-7A-SU2-0001,a,,（an /{n; @n/） art. （用于单数可数名词前，表示 未曾提到的）一（人、事、物）,junior,7,7A,SU2,wordlist,117,low
jr-7A-SU2-0002,cup,n.,杯子,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0003,English,n.,英语 adj. 英格兰的；英语的 p.S5 in English  用英语,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0004,in,prep.,（表示使用语言、材料等） 用；以,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0005,is,v.,是,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0006,it,pron.,它,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0007,jacket,n.,夹克衫；短上衣,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0008,key,n.,钥匙,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0009,kg,,千克；公斤,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0010,map,n.,地图,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0011,NBA,,（美国）全国篮球协会,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0012,orange,,、 /O:rIndZ/ n. 橙子,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0013,P,,停车场；停车位,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0014,pen,n.,笔；钢笔,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0015,please,interj.,（用于客气地请 求或吩咐）请,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0016,quilt,n.,被子；床罩,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0017,ruler,n.,尺；直尺,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0018,spell,v.,用字母拼；拼写 p.S7 在英式发音和美式发音有区别时，英式发音在前，美式发音在后。） 95,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0019,that,pron.,那；那个,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0020,this,pron.,这；这个,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU2-0021,what,,、 /wA:t/ pron. & adj. 什么,junior,7,7A,SU2,wordlist,117,high
jr-7A-SU3-0001,black,adj.,& n. 黑色（的）,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0002,blue,adj.,& n. 蓝色（的）,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0003,brown,adj.,& n. 棕色（的）；褐色（的）,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0004,can,modal v.,能；会,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0005,CCTV,,中国中央电视台,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0006,color,n.,（= colour）颜色,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0007,green,adj.,& n. 绿色（的）,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0008,L,,（尤指服装的尺码）大号的,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0009,M,,（尤指服装的尺码）中号的,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0010,my,pron.,我的,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0011,now,adv.,现在；目前,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0012,purple,adj.,& n. 紫色（的）,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0013,red,adj.,& n. 红色（的）,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0014,S,,（尤指服装的尺码）小号的,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0015,say,v.,说；讲,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0016,see,v.,理解；明白,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0017,the,art.,指已提到或易领会 到的人或事物,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0018,UFO,,不明飞行物,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0019,white,adj.,& n. 白色（的）,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0020,yellow,adj.,& n. 黄色 （的）,junior,7,7A,SU3,wordlist,117,high
jr-7A-U1-0001,Alan,,艾伦（男名）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0002,and,conj.,和；又；而,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0003,Brown,,布朗（姓）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0004,China,,中国,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0005,eight,num.,八,junior,7,7A,U1,wordlist,117,high
