word_id,word,pos,meaning_cn,stage,grade,volume,unit,source_type,source_page,confidence
jr-7B-U1-0001,guitar,n.,吉他,junior,7,7B,U1,wordlist,p.1,high
jr-7B-U1-0002,sing,v.,唱歌,junior,7,7B,U1,wordlist,p.1,high
jr-7B-U1-0003,swim,v. & n.,游泳,junior,7,7B,U1,wordlist,p.1,high
jr-7B-U1-0004,dance,v. n.,跳舞;舞蹈,junior,7,7B,U1,wordlist,p.1,high
jr-7B-U1-0005,draw,v.,画,junior,7,7B,U1,wordlist,p.1,high
jr-7B-U1-0006,chess,n.,国际象棋,junior,7,7B,U1,wordlist,p.1,high
jr-7B-U1-0007,play chess,,下国际象棋,junior,7,7B,U1,wordlist,p.1,high
jr-7B-U1-0008,speak,v.,说(某种语言);说话,junior,7,7B,U1,wordlist,p.1,high
jr-7B-U1-0009,speak English,,说英语,junior,7,7B,U1,wordlist,p.1,high
jr-7B-U1-0010,join,v.,参加;加入,junior,7,7B,U1,wordlist,p.1,high
jr-7B-U1-0011,club,n.,俱乐部;社团,junior,7,7B,U1,wordlist,p.1,high
jr-7B-U1-0012,be good at ...,,擅长于……,junior,7,7B,U1,wordlist,p.2,high
jr-7B-U1-0013,tell,v.,讲述;告诉,junior,7,7B,U1,wordlist,p.2,high
jr-7B-U1-0014,story,n.,故事;小说,junior,7,7B,U1,wordlist,p.2,high
jr-7B-U1-0015,write,v.,写作;写字,junior,7,7B,U1,wordlist,p.3,high
jr-7B-U1-0016,show,n. v.,演出;节目;给……看;展示,junior,7,7B,U1,wordlist,p.3,high
jr-7B-U1-0017,or,conj.,或者;也不(用于否定句),junior,7,7B,U1,wordlist,p.3,high
jr-7B-U1-0018,talk,v. & n.,说话;交谈,junior,7,7B,U1,wordlist,p.3,high
jr-7B-U1-0019,talk to ...,,跟……说,junior,7,7B,U1,wordlist,p.3,high
jr-7B-U1-0020,kung fu,n.,(中国)功夫,junior,7,7B,U1,wordlist,p.3,high
jr-7B-U1-0021,drum,n.,鼓,junior,7,7B,U1,wordlist,p.4,high
jr-7B-U1-0022,play the drums,,敲鼓,junior,7,7B,U1,wordlist,p.4,high
jr-7B-U1-0023,piano,n.,钢琴,junior,7,7B,U1,wordlist,p.4,high
jr-7B-U1-0024,play the piano,,弹钢琴,junior,7,7B,U1,wordlist,p.4,high
jr-7B-U1-0025,violin,n.,小提琴,junior,7,7B,U1,wordlist,p.4,high
jr-7B-U1-0026,play the violin,,拉小提琴,junior,7,7B,U1,wordlist,p.4,high
jr-7B-U1-0027,also,adv.,也;而且,junior,7,7B,U1,wordlist,p.5,high
jr-7B-U1-0028,people,n.,人;人们,junior,7,7B,U1,wordlist,p.5,high
jr-7B-U1-0029,home,n. adv.,家;活动本部;到家;在家,junior,7,7B,U1,wordlist,p.5,high
jr-7B-U1-0030,be good with ...,,善于应付……的;对……有办法,junior,7,7B,U1,wordlist,p.5,high
jr-7B-U1-0031,make,v.,使成为;制造,junior,7,7B,U1,wordlist,p.5,high
jr-7B-U1-0032,make friends,,结交朋友,junior,7,7B,U1,wordlist,p.5,high
jr-7B-U1-0033,today,adv.,在今天,junior,7,7B,U1,wordlist,p.5,high
jr-7B-U1-0034,help (sb.) with sth.,,在某方面帮助(某人),junior,7,7B,U1,wordlist,p.5,high
jr-7B-U1-0035,center,n.,中心;中央(= centre),junior,7,7B,U1,wordlist,p.5,high
jr-7B-U1-0036,weekend,n.,周末,junior,7,7B,U1,wordlist,p.5,high
jr-7B-U1-0037,on the weekend,,(在)周末,junior,7,7B,U1,wordlist,p.5,high
jr-7B-U1-0038,teach,v.,教;讲授,junior,7,7B,U1,wordlist,p.5,high
jr-7B-U1-0039,musician,n.,音乐家,junior,7,7B,U1,wordlist,p.6,high
jr-7B-U1-0040,Lisa,,莉萨(女名),junior,7,7B,U1,recognize,p.2,high
jr-7B-U1-0041,Jill,,吉尔(女名),junior,7,7B,U1,recognize,p.3,high
jr-7B-U1-0042,Peter,,彼得(男名),junior,7,7B,U1,recognize,p.5,high
jr-7B-U2-0001,up,adv.,向上,junior,7,7B,U2,wordlist,p.7,high
jr-7B-U2-0002,get up,,起床;站起,junior,7,7B,U2,wordlist,p.7,high
jr-7B-U2-0003,dress,v. n.,穿衣服;连衣裙,junior,7,7B,U2,wordlist,p.7,high
jr-7B-U2-0004,get dressed,,穿上衣服,junior,7,7B,U2,wordlist,p.7,high
jr-7B-U2-0005,brush,v. n.,刷;刷净;刷子,junior,7,7B,U2,wordlist,p.7,high
jr-7B-U2-0006,tooth,n.,牙齿(pl. teeth),junior,7,7B,U2,wordlist,p.7,high
jr-7B-U2-0007,shower,n. & v.,淋浴;淋浴器(间),junior,7,7B,U2,wordlist,p.7,high
jr-7B-U2-0008,take a shower,,洗淋浴,junior,7,7B,U2,wordlist,p.7,high
jr-7B-U2-0009,usually,adv.,通常地;一般地,junior,7,7B,U2,wordlist,p.7,high
jr-7B-U2-0010,forty,num.,四十,junior,7,7B,U2,wordlist,p.7,high
jr-7B-U2-0011,wow,interj.,(表示惊奇或敬佩)哇;呀,junior,7,7B,U2,wordlist,p.8,high
jr-7B-U2-0012,never,adv.,从不;绝不,junior,7,7B,U2,wordlist,p.8,high
jr-7B-U2-0013,early,adv. & adj.,早(的),junior,7,7B,U2,wordlist,p.8,high
jr-7B-U2-0014,fifty,num.,五十,junior,7,7B,U2,wordlist,p.8,high
jr-7B-U2-0015,job,n.,工作;职业,junior,7,7B,U2,wordlist,p.8,high
jr-7B-U2-0016,work,v. & n.,工作,junior,7,7B,U2,wordlist,p.8,high
jr-7B-U2-0017,station,n.,电(视)台;车站,junior,7,7B,U2,wordlist,p.8,high
jr-7B-U2-0018,radio station,,广播电台,junior,7,7B,U2,wordlist,p.8,high
jr-7B-U2-0019,o'clock,adv.,(表示整点)……点钟,junior,7,7B,U2,wordlist,p.8,high
jr-7B-U2-0020,night,n.,晚上;夜晚,junior,7,7B,U2,wordlist,p.8,high
jr-7B-U2-0021,funny,adj.,奇怪的;滑稽好笑的,junior,7,7B,U2,wordlist,p.8,high
jr-7B-U2-0022,exercise,v. & n.,锻炼;练习,junior,7,7B,U2,wordlist,p.8,high
jr-7B-U2-0023,on weekends,,(在)周末,junior,7,7B,U2,wordlist,p.9,high
jr-7B-U2-0024,best,adj. adv.,最好的;最好地;最,junior,7,7B,U2,wordlist,p.9,high
jr-7B-U2-0025,group,n.,组;群,junior,7,7B,U2,wordlist,p.9,high
jr-7B-U2-0026,half,n. & pron.,一半;半数,junior,7,7B,U2,wordlist,p.10,high
jr-7B-U2-0027,past,prep. adj.,晚于;过(时间);过去的,junior,7,7B,U2,wordlist,p.10,high
jr-7B-U2-0028,quarter,n.,一刻钟;四分之一,junior,7,7B,U2,wordlist,p.10,high
jr-7B-U2-0029,homework,n.,家庭作业,junior,7,7B,U2,wordlist,p.10,high
jr-7B-U2-0030,do (one's) homework,,做作业,junior,7,7B,U2,wordlist,p.10,high
jr-7B-U2-0031,run,v.,跑;奔,junior,7,7B,U2,wordlist,p.10,high
jr-7B-U2-0032,clean,v. adj.,打扫;弄干净;干净的,junior,7,7B,U2,wordlist,p.10,high
jr-7B-U2-0033,walk,v. & n.,走路;步行,junior,7,7B,U2,wordlist,p.10,high
jr-7B-U2-0034,take a walk,,散步;走一走,junior,7,7B,U2,wordlist,p.10,high
jr-7B-U2-0035,quickly,adv.,很快地,junior,7,7B,U2,wordlist,p.11,high
jr-7B-U2-0036,either,conj. adv.,或者;也(用于否定词组后),junior,7,7B,U2,wordlist,p.11,high
jr-7B-U2-0037,either ... or ...,,要么……要么……;或者……或者……,junior,7,7B,U2,wordlist,p.11,high
jr-7B-U2-0038,lot,pron.,大量;许多,junior,7,7B,U2,wordlist,p.11,high
jr-7B-U2-0039,lots of,,大量;许多,junior,7,7B,U2,wordlist,p.11,high
jr-7B-U2-0040,sometimes,adv.,有时,junior,7,7B,U2,wordlist,p.11,high
jr-7B-U2-0041,taste,v. n.,有……的味道;品尝;味道;滋味,junior,7,7B,U2,wordlist,p.11,high
jr-7B-U2-0042,life,n.,生活;生命(pl. lives),junior,7,7B,U2,wordlist,p.12,high
jr-7B-U2-0043,Rick,,里克(男名),junior,7,7B,U2,recognize,p.7,high
jr-7B-U2-0044,Jim,,吉姆(男名),junior,7,7B,U2,recognize,p.8,high
jr-7B-U2-0045,Scott,,斯科特(男名),junior,7,7B,U2,recognize,p.8,high
jr-7B-U2-0046,Tony,,托尼(男名),junior,7,7B,U2,recognize,p.11,high
jr-7B-U3-0001,get to,,到达,junior,7,7B,U3,wordlist,p.13,high
jr-7B-U3-0002,train,n.,火车,junior,7,7B,U3,wordlist,p.13,high
jr-7B-U3-0003,bus,n.,公共汽车,junior,7,7B,U3,wordlist,p.13,high
jr-7B-U3-0004,subway,n.,地铁,junior,7,7B,U3,wordlist,p.13,high
jr-7B-U3-0005,take the subway,,乘地铁,junior,7,7B,U3,wordlist,p.13,high
jr-7B-U3-0006,ride,v. n.,骑;旅程,junior,7,7B,U3,wordlist,p.13,high
jr-7B-U3-0007,bike,n.,自行车,junior,7,7B,U3,wordlist,p.13,high
jr-7B-U3-0008,ride a bike,,骑自行车,junior,7,7B,U3,wordlist,p.13,high
jr-7B-U3-0009,sixty,num.,六十,junior,7,7B,U3,wordlist,p.14,high
jr-7B-U3-0010,seventy,num.,七十,junior,7,7B,U3,wordlist,p.14,high
jr-7B-U3-0011,eighty,num.,八十,junior,7,7B,U3,wordlist,p.14,high
jr-7B-U3-0012,ninety,num.,九十,junior,7,7B,U3,wordlist,p.14,high
jr-7B-U3-0013,hundred,num.,一百,junior,7,7B,U3,wordlist,p.14,high
jr-7B-U3-0014,minute,n.,分钟,junior,7,7B,U3,wordlist,p.14,high
jr-7B-U3-0015,far,adv. & adj.,远;远的,junior,7,7B,U3,wordlist,p.14,high
jr-7B-U3-0016,kilometer,n.,千米;公里(= kilometre; abbr. km),junior,7,7B,U3,wordlist,p.14,high
jr-7B-U3-0017,new,adj.,新的;刚出现的,junior,7,7B,U3,wordlist,p.14,high
jr-7B-U3-0018,every,adj.,每一;每个,junior,7,7B,U3,wordlist,p.14,high
jr-7B-U3-0019,every day,,每天,junior,7,7B,U3,wordlist,p.14,high
jr-7B-U3-0020,by,prep.,(表示方式)乘(交通工具),junior,7,7B,U3,wordlist,p.14,high
jr-7B-U3-0021,by bike,,骑自行车,junior,7,7B,U3,wordlist,p.14,high
jr-7B-U3-0022,drive,v.,开车,junior,7,7B,U3,wordlist,p.15,high
jr-7B-U3-0023,car,n.,小汽车;轿车,junior,7,7B,U3,wordlist,p.15,high
