word_id,word,pos,meaning_cn,stage,grade,volume,unit,source_type,source_page,confidence
jr-7A-EXTRA-0001,adjectives,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0002,aft,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0003,Alan,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0004,Alice,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0005,alphabet,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0006,an,,,junior,7,7A,EXTRA,text_only,6,low
jr-7A-EXTRA-0007,Andrew,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0008,ank,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0009,answers,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0010,Anthony,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0011,any,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0012,aren,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0013,around,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0014,Asia,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0015,bananas,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0016,Bob,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0017,books,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0018,brothers,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0019,Brough,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0020,by,,,junior,7,7A,EXTRA,text_only,3,low
jr-7A-EXTRA-0021,CD,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0022,Cengage,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0023,Chiu,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0024,Cindy,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0025,clothing,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0026,Colors,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0027,computer game,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0028,Conjunction,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0029,Contents,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0030,Copyright,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0031,Countable,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0032,cult,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0033,Dale,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0034,Dates,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0035,David,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0036,de,,,junior,7,7A,EXTRA,text_only,3,low
jr-7A-EXTRA-0037,Demonstrative,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0038,dislikes,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0039,Do you have,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0040,Do you like,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0041,doesn,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0042,dollars,,,junior,7,7A,EXTRA,text_only,10,high
jr-7A-EXTRA-0043,don,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0044,E,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0045,Each,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0046,Eden,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0047,Education,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0048,Edward,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0049,Edwin,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0050,er,,,junior,7,7A,EXTRA,text_only,9,low
jr-7A-EXTRA-0051,Eric,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0052,ernoon,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0053,ers,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0054,ese,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0055,Expressions,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0056,ey,,,junior,7,7A,EXTRA,text_only,8,low
jr-7A-EXTRA-0057,fi,,,junior,7,7A,EXTRA,text_only,6,low
jr-7A-EXTRA-0058,form,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0059,Frank,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0060,Friedman,,,junior,7,7A,EXTRA,text_only,3,high
