book,unit,word,gloss,printed_page,pdf_page
primary_4A,Unit 1,classroom,教室,5,10
primary_4A,Unit 1,window,窗户,5,10
primary_4A,Unit 1,blackboard,黑板,5,10
primary_4A,Unit 1,light,电灯,5,10
primary_4A,Unit 1,picture,图画,5,10
primary_4A,Unit 1,door,门,5,10
primary_4A,Unit 1,teacher's desk,讲台,8,13
primary_4A,Unit 1,computer,计算机,8,13
primary_4A,Unit 1,fan,风扇,8,13
primary_4A,Unit 1,wall,墙壁,8,13
primary_4A,Unit 1,floor,地板,8,13
primary_4A,Unit 1,really,（表示兴趣或惊讶） 真的,4,9
primary_4A,Unit 1,near,距离近,4,9
primary_4A,Unit 1,TV,电视,5,10
primary_4A,Unit 1,clean,打扫,7,12
primary_4A,Unit 1,help,帮助,7,12
primary_4A,Unit 2,schoolbag,书包,15,20
primary_4A,Unit 2,maths book,数学书,15,20
primary_4A,Unit 2,English book,英语书,15,20
primary_4A,Unit 2,Chinese book,语文书,15,20
primary_4A,Unit 2,storybook,故事书,15,20
primary_4A,Unit 2,candy,糖果,18,23
primary_4A,Unit 2,notebook,笔记本,18,23
primary_4A,Unit 2,toy,玩具,18,23
primary_4A,Unit 2,key,钥匙,18,23
primary_4A,Unit 2,wow,哇；呀,14,19
primary_4A,Unit 2,lost,丢失 （lose的过去式形式）,17,22
primary_4A,Unit 2,so much,非常地,17,22
primary_4A,Unit 2,cute,可爱的,19,24
primary_4A,Unit 3,strong,强壮的,25,30
primary_4A,Unit 3,friendly,友好的,25,30
primary_4A,Unit 3,quiet,安静的,25,30
primary_4A,Unit 3,hair,头发,28,33
primary_4A,Unit 3,shoe,鞋,28,33
primary_4A,Unit 3,glasses,眼镜,28,33
primary_4A,Unit 3,his,他的,24,29
primary_4A,Unit 3,or,或者,27,32
primary_4A,Unit 3,right,正确的; 对的,27,32
primary_4A,Unit 3,hat,常指带檐的) 帽子,29,34
primary_4A,Unit 3,her,她的,29,34
primary_4A,Unit 4,bedroom,卧室,39,44
primary_4A,Unit 4,living room,客厅；起居室,39,44
primary_4A,Unit 4,study,书房,39,44
primary_4A,Unit 4,kitchen,厨房,39,44
primary_4A,Unit 4,bathroom,浴室； 洗手间,39,44
primary_4A,Unit 4,bed,床,42,47
primary_4A,Unit 4,phone,电话,42,47
primary_4A,Unit 4,table,桌子,42,47
primary_4A,Unit 4,sofa,长沙发,42,47
primary_4A,Unit 4,fridge,冰箱,42,47
primary_4A,Unit 4,find,找到,43,48
primary_4A,Unit 4,them,他（她、它）们,43,48
primary_4A,Unit 5,beef,牛肉,49,54
primary_4A,Unit 5,chicken,鸡肉,49,54
primary_4A,Unit 5,noodles,面条,49,54
primary_4A,Unit 5,soup,汤,49,54
primary_4A,Unit 5,vegetable,蔬菜,49,54
primary_4A,Unit 5,chopsticks,筷子,52,57
primary_4A,Unit 5,bowl,碗,52,57
primary_4A,Unit 5,fork,餐叉,52,57
primary_4A,Unit 5,knife,刀,52,57
primary_4A,Unit 5,spoon,勺,52,57
primary_4A,Unit 5,dinner,（中午或晚上吃的） 正餐,48,53
primary_4A,Unit 5,ready,准备好,48,53
primary_4A,Unit 5,help yourself,为（自己）取用,51,56
primary_4A,Unit 5,pass,给；递,52,57
primary_4A,Unit 5,try,试；尝试,53,58
primary_4A,Unit 6,parents,父母,59,64
primary_4A,Unit 6,cousin,同辈表亲 （或堂亲）,59,64
primary_4A,Unit 6,uncle,舅父；叔父；伯父； 姑父；姨夫,59,64
primary_4A,Unit 6,aunt,姑母；姨母,59,64
primary_4A,Unit 6,baby brother,婴儿小弟弟,59,64
primary_4A,Unit 6,doctor,医生,62,67
primary_4A,Unit 6,cook,厨师,62,67
primary_4A,Unit 6,driver,司机,62,67
primary_4A,Unit 6,farmer,农民,62,67
primary_4A,Unit 6,nurse,护士,62,67
primary_4A,Unit 6,people,人们,58,63
primary_4A,Unit 6,but,但是,58,63
primary_4A,Unit 6,little,小的,58,63
primary_4A,Unit 6,puppy,小狗,58,63
primary_4A,Unit 6,football player,足球运动员,61,66
primary_4A,Unit 6,job,工作,62,67
primary_4A,Unit 6,basketball,篮球,63,68
