book,unit,word,gloss,printed_page,pdf_page
primary_5B,Unit 1,eat breakfast,吃早饭,5,10
primary_5B,Unit 1,have … class,上⋯⋯课,5,10
primary_5B,Unit 1,play sports,进行体育运动,5,10
primary_5B,Unit 1,exercise,活动；运动,5,10
primary_5B,Unit 1,do morning exercises,做早操,5,10
primary_5B,Unit 1,eat dinner,吃晚饭,5,10
primary_5B,Unit 1,clean my room,打扫我的房间,8,13
primary_5B,Unit 1,go for a walk,散步,8,13
primary_5B,Unit 1,go shopping,去买东西；购物,8,13
primary_5B,Unit 1,take,学习；上（课）,8,13
primary_5B,Unit 1,dancing,跳舞；舞蹈,8,13
primary_5B,Unit 1,take a dancing class,上舞蹈课,8,13
primary_5B,Unit 1,when,什么时候；何时,4,9
primary_5B,Unit 1,after,在（时间）后,4,9
primary_5B,Unit 1,start,开始,4,9
primary_5B,Unit 1,usually,通常地；惯常地,4,9
primary_5B,Unit 1,Spain,西班牙,4,9
primary_5B,Unit 1,late,晚；迟,4,9
primary_5B,Unit 1,a.m.,午前；上午,5,10
primary_5B,Unit 1,p.m.,午后；下午,5,10
primary_5B,Unit 1,why,为什么,7,12
primary_5B,Unit 1,shop,去买东西；购物,7,12
primary_5B,Unit 1,work,工作,7,12
primary_5B,Unit 1,last,上一个的；刚过去的,7,12
primary_5B,Unit 1,sound,听起来好像,7,12
primary_5B,Unit 1,also,还；也,7,12
primary_5B,Unit 1,busy,忙的,7,12
primary_5B,Unit 1,need,需要,7,12
primary_5B,Unit 1,play,戏剧；剧本,9,14
primary_5B,Unit 1,letter,信,9,14
primary_5B,Unit 1,live,居住,9,14
primary_5B,Unit 1,island,岛,9,14
primary_5B,Unit 1,always,总是；一直,9,14
primary_5B,Unit 1,cave,山洞；洞穴,9,14
primary_5B,Unit 1,go swimming,去游泳,9,14
primary_5B,Unit 1,win,获胜,9,14
primary_5B,Unit 2,spring,春天,15,20
primary_5B,Unit 2,summer,夏天,15,20
primary_5B,Unit 2,autumn,秋天,15,20
primary_5B,Unit 2,winter,冬天 season 季节 p.15,15,20
primary_5B,Unit 2,picnic,野餐,18,23
primary_5B,Unit 2,go on a picnic,去野餐,18,23
primary_5B,Unit 2,pick,摘；采集,18,23
primary_5B,Unit 2,pick apples,摘苹果,18,23
primary_5B,Unit 2,snowman,雪人,18,23
primary_5B,Unit 2,make a snowman,堆雪人,18,23
primary_5B,Unit 2,go swimming,去游泳,18,23
primary_5B,Unit 2,which,哪一个,14,19
primary_5B,Unit 2,best,最；最高程度地,14,19
primary_5B,Unit 2,snow,雪,14,19
primary_5B,Unit 2,good job,做得好,17,22
primary_5B,Unit 2,because,因为,17,22
primary_5B,Unit 2,vacation,假期,17,22
primary_5B,Unit 2,all,全；完全,19,24
primary_5B,Unit 2,pink,粉色；粉色的,19,24
primary_5B,Unit 2,lovely,可爱的；美丽的,19,24
primary_5B,Unit 2,leaf,叶子 （复数 leaves ）,19,24
primary_5B,Unit 2,fall,落下；【美】秋天,19,24
primary_5B,Unit 2,paint,用颜料绘画,19,24
primary_5B,Unit 3,January,一月,25,30
primary_5B,Unit 3,February,二月,25,30
primary_5B,Unit 3,March,三月,25,30
primary_5B,Unit 3,April,四月,25,30
primary_5B,Unit 3,May,五月,25,30
primary_5B,Unit 3,June,六月,25,30
primary_5B,Unit 3,July,七月,28,33
primary_5B,Unit 3,August,八月,28,33
primary_5B,Unit 3,September,九月,28,33
primary_5B,Unit 3,October,十月,28,33
primary_5B,Unit 3,November,十一月,28,33
primary_5B,Unit 3,December,十二月,28,33
primary_5B,Unit 3,few,不多；很少,24,29
primary_5B,Unit 3,a few,一些,24,29
primary_5B,Unit 3,thing,事情,24,29
primary_5B,Unit 3,meet,集会；开会,24,29
primary_5B,Unit 3,sports meet,运动会,24,29
primary_5B,Unit 3,trip,旅行,24,29
primary_5B,Unit 3,year,年,25,30
primary_5B,Unit 3,plant,种植,25,30
primary_5B,Unit 3,contest,比赛；竞赛,25,30
primary_5B,Unit 3,the Great Wall,长城,27,32
primary_5B,Unit 3,national,国家的,28,33
primary_5B,Unit 3,National Day,国庆日,28,33
primary_5B,Unit 3,American,美国的,28,33
primary_5B,Unit 3,Thanksgiving,感恩节,28,33
primary_5B,Unit 3,Christmas,圣诞节,28,33
primary_5B,Unit 3,game,游戏,29,34
primary_5B,Unit 3,riddle,谜；谜语,29,34
primary_5B,Unit 3,act,扮演,29,34
primary_5B,Unit 3,act out,把……表演出来,29,34
primary_5B,Unit 3,RSVP,（尤用于请柬）请赐复,29,34
primary_5B,Unit 3,by,在……之前,29,34
primary_5B,Unit 4,first,第一（的）,39,44
primary_5B,Unit 4,second,第二（的）,39,44
primary_5B,Unit 4,third,第三（的）,39,44
primary_5B,Unit 4,fourth,第四（的）,39,44
primary_5B,Unit 4,fifth,第五（的）,39,44
primary_5B,Unit 4,twelfth,第十二（的）,42,47
primary_5B,Unit 4,twentieth,第二十（的）,42,47
primary_5B,Unit 4,twenty-first,第二十一（的）,42,47
primary_5B,Unit 4,twenty-third,第二十三（的）,42,47
primary_5B,Unit 4,thirtieth,第三十（的）,42,47
primary_5B,Unit 4,other,其他,38,43
primary_5B,Unit 4,special,特殊的；特别的,38,43
primary_5B,Unit 4,show,展览,38,43
primary_5B,Unit 4,festival,节日 kitten 小猫 p.43,38,43
primary_5B,Unit 4,diary,日记,43,48
primary_5B,Unit 4,still,仍然；依旧；还是,43,48
primary_5B,Unit 4,noise,声音；响声；噪音,43,48
primary_5B,Unit 4,fur,（某些动物的）浓密的 软毛,43,48
primary_5B,Unit 4,open,开着的,43,48
primary_5B,Unit 4,walk,行走,43,48
primary_5B,Unit 5,mine,我的,49,54
primary_5B,Unit 5,yours,你（们）的,49,54
primary_5B,Unit 5,his,他的,49,54
primary_5B,Unit 5,hers,她的,49,54
primary_5B,Unit 5,theirs,他们的；她们的； 它们的,49,54
primary_5B,Unit 5,ours,我们的,49,54
primary_5B,Unit 5,climbing,（climb 的-ing形式）（正在）攀登；攀爬,52,57
primary_5B,Unit 5,eating,（eat的-ing形式） （正在）吃,52,57
primary_5B,Unit 5,playing,（play的-ing形式） （正在）玩耍,52,57
primary_5B,Unit 5,jumping,（jump 的-ing形式）（正在）跳,52,57
primary_5B,Unit 5,drinking,（drink的-ing 形式）（正在）喝（水）,52,57
primary_5B,Unit 5,sleeping,（sleep 的-ing形式）（正在）睡觉,52,57
primary_5B,Unit 5,each,每一；各个,52,57
primary_5B,Unit 5,each other,相互,52,57
primary_5B,Unit 5,excited,兴奋的；激动的,53,58
primary_5B,Unit 5,like,像……那样,53,58
primary_5B,Unit 6,doing morning exercises,（正在）做早操,59,64
primary_5B,Unit 6,having … class,（正在）上……课,59,64
primary_5B,Unit 6,eating lunch,（正在）吃午饭,59,64
primary_5B,Unit 6,reading a book,（正在）看书,59,64
primary_5B,Unit 6,listening to music,（正在） 听音乐,59,64
primary_5B,Unit 6,keep,保持某种状态,62,67
primary_5B,Unit 6,keep to the right,靠右,62,67
primary_5B,Unit 6,keep your desk clean,保持你 的课桌干净,62,67
primary_5B,Unit 6,talk quietly,小声讲话,62,67
primary_5B,Unit 6,turn,顺序,62,67
primary_5B,Unit 6,take turns,按顺序来,62,67
primary_5B,Unit 6,bamboo,竹子,58,63
primary_5B,Unit 6,its,（指事物、动物或幼儿） 它的；他的；她的,58,63
primary_5B,Unit 6,show,给人看,61,66
primary_5B,Unit 6,anything,任何事物,61,66
primary_5B,Unit 6,else,另外；其他,61,66
primary_5B,Unit 6,exhibition,展览,63,68
primary_5B,Unit 6,say,说；讲,63,68
primary_5B,Unit 6,have a look,看一看,63,68
primary_5B,Unit 6,sushi,寿司,63,68
primary_5B,Unit 6,teach,教,63,68
primary_5B,Unit 6,sure,（表示同意）当然,63,68
primary_5B,Unit 6,Canadian,加拿大的,63,68
primary_5B,Unit 6,Spanish,西班牙的,63,68
