word_id,word,pos,meaning_cn,stage,grade,volume,unit,source_type,source_page,confidence
W0001,ruler,,尺子,primary,3,3A,Unit 1,wordlist,5,high
W0002,pencil,,铅笔,primary,3,3A,Unit 1,wordlist,5,high
W0003,eraser,,橡皮,primary,3,3A,Unit 1,wordlist,5,high
W0004,crayon,,蜡笔,primary,3,3A,Unit 1,wordlist,5,high
W0005,bag,,包,primary,3,3A,Unit 1,wordlist,8,high
W0006,pen,,钢笔,primary,3,3A,Unit 1,wordlist,8,high
W0007,pencil box,,铅笔盒,primary,3,3A,Unit 1,wordlist,8,high
W0008,book,,书,primary,3,3A,Unit 1,wordlist,8,high
W0009,no,,不,primary,3,3A,Unit 1,wordlist,8,high
W0010,your,,你（们）的,primary,3,3A,Unit 1,wordlist,8,high
W0011,red,,红色；红色的,primary,3,3A,Unit 2,wordlist,15,high
W0012,green,,绿色；绿色的,primary,3,3A,Unit 2,wordlist,15,high
W0013,yellow,,黄色；黄色的,primary,3,3A,Unit 2,wordlist,15,high
W0014,blue,,蓝色；蓝色的,primary,3,3A,Unit 2,wordlist,15,high
W0015,black,,黑色；黑色的,primary,3,3A,Unit 2,wordlist,18,high
W0016,brown,,棕色；棕色的,primary,3,3A,Unit 2,wordlist,18,high
W0017,white,,白色；白色的,primary,3,3A,Unit 2,wordlist,18,high
W0018,orange,,橙色；橙色的,primary,3,3A,Unit 2,wordlist,18,high
W0019,OK,,好；行,primary,3,3A,Unit 2,wordlist,18,high
W0020,mum,,妈妈 (美式英语：mom ),primary,3,3A,Unit 2,wordlist,17,high
W0021,face,,脸,primary,3,3A,Unit 3,wordlist,25,high
W0022,ear,,耳朵,primary,3,3A,Unit 3,wordlist,25,high
W0023,eye,,眼睛,primary,3,3A,Unit 3,wordlist,25,high
W0024,nose,,鼻子,primary,3,3A,Unit 3,wordlist,25,high
W0025,mouth,,嘴,primary,3,3A,Unit 3,wordlist,25,high
W0026,arm,,胳膊,primary,3,3A,Unit 3,wordlist,28,high
W0027,hand,,手,primary,3,3A,Unit 3,wordlist,28,high
W0028,head,,头,primary,3,3A,Unit 3,wordlist,28,high
W0029,body,,身体,primary,3,3A,Unit 3,wordlist,28,high
W0030,leg,,腿,primary,3,3A,Unit 3,wordlist,28,high
W0031,foot,,脚,primary,3,3A,Unit 3,wordlist,28,high
W0032,school,,学校,primary,3,3A,Unit 3,wordlist,24,high
W0033,duck,,鸭子,primary,3,3A,Unit 4,wordlist,39,high
W0034,pig,,猪,primary,3,3A,Unit 4,wordlist,39,high
W0035,cat,,猫,primary,3,3A,Unit 4,wordlist,39,high
W0036,bear,,熊,primary,3,3A,Unit 4,wordlist,39,high
W0037,dog,,狗,primary,3,3A,Unit 4,wordlist,39,high
W0038,elephant,,大象,primary,3,3A,Unit 4,wordlist,42,high
W0039,monkey,,猴子,primary,3,3A,Unit 4,wordlist,42,high
W0040,bird,,鸟,primary,3,3A,Unit 4,wordlist,42,high
W0041,tiger,,老虎,primary,3,3A,Unit 4,wordlist,42,high
W0042,panda,,大熊猫,primary,3,3A,Unit 4,wordlist,42,high
W0043,zoo,,动物园,primary,3,3A,Unit 4,wordlist,42,high
W0044,funny,,滑稽的；好笑的,primary,3,3A,Unit 4,wordlist,41,high
W0045,bread,,面包,primary,3,3A,Unit 5,wordlist,49,high
W0046,juice,,果汁,primary,3,3A,Unit 5,wordlist,49,high
W0047,egg,,蛋,primary,3,3A,Unit 5,wordlist,49,high
W0048,milk,,牛奶,primary,3,3A,Unit 5,wordlist,49,high
W0049,water,,水,primary,3,3A,Unit 5,wordlist,52,high
W0050,cake,,蛋糕,primary,3,3A,Unit 5,wordlist,52,high
W0051,fish,,鱼肉；鱼,primary,3,3A,Unit 5,wordlist,52,high
W0052,rice,,米饭,primary,3,3A,Unit 5,wordlist,52,high
W0053,one,,一,primary,3,3A,Unit 6,wordlist,59,high
W0054,two,,二,primary,3,3A,Unit 6,wordlist,59,high
W0055,three,,三,primary,3,3A,Unit 6,wordlist,59,high
W0056,four,,四,primary,3,3A,Unit 6,wordlist,59,high
W0057,five,,五,primary,3,3A,Unit 6,wordlist,59,high
W0058,six,,六,primary,3,3A,Unit 6,wordlist,62,high
W0059,seven,,七,primary,3,3A,Unit 6,wordlist,62,high
W0060,eight,,八,primary,3,3A,Unit 6,wordlist,62,high
W0061,nine,,九,primary,3,3A,Unit 6,wordlist,62,high
W0062,ten,,十,primary,3,3A,Unit 6,wordlist,62,high
W0063,brother,,兄；弟,primary,3,3A,Unit 6,wordlist,61,high
W0064,plate,,盘子,primary,3,3A,Unit 6,wordlist,58,high
