word_id,word,pos,phonetic,meaning_cn,stage,year_band,volume,volume_label,source_type,source_page,source_ref,confidence
sr-B1-0001,actually,adv.,"/""{ktSU@li/",事实上；的确,senior,1,B1,必修第一册,vocabulary,125,1,high
sr-B1-0002,addict,n.,"/""{dIkt/",对……入迷的人；吸毒成瘾的人,senior,1,B1,必修第一册,vocabulary,125,1,high
sr-B1-0003,addicted to,,,对……很入迷,senior,1,B1,必修第一册,vocabulary,125,1,high
sr-B1-0004,admire,vt.,"/@d""maI@(r)/",钦佩；赞赏,senior,1,B1,必修第一册,vocabulary,125,2,high
sr-B1-0005,adult,n.,"/""{dVlt/",成年人adj成年的；成熟的,senior,1,B1,必修第一册,vocabulary,125,1,high
sr-B1-0006,advance,n.,"/@d""vA:ns/",前进；发展vi前进；发展vt发展；促进,senior,1,B1,必修第一册,vocabulary,125,1,high
sr-B1-0007,adventure,n.,"/@d""ventS@(r)/",冒险；奇遇,senior,1,B1,必修第一册,vocabulary,125,1,high
sr-B1-0008,affair,n.,"/@""fe@(r)/",公共事务；事件；关系,senior,1,B1,必修第一册,vocabulary,125,5,high
sr-B1-0009,affect,vt.,"/@""fekt/",影响；（疾病）侵袭；深深打动,senior,1,B1,必修第一册,vocabulary,125,4,high
sr-B1-0010,aid,n.,/eId/,援助；帮助；救援物资vi帮助；援助,senior,1,B1,必修第一册,vocabulary,125,4,high
sr-B1-0011,a.m.,,"/%eI""em/",源自拉丁语）上午；午前；午夜至正午,senior,1,B1,必修第一册,vocabulary,125,w,high
sr-B1-0012,amazing,adj.,"/@""meIzIN/",令人惊奇的；令人惊喜的,senior,1,B1,必修第一册,vocabulary,125,2,high
sr-B1-0013,annoy,vt.,"/@""nOI/",使恼怒；打扰,senior,1,B1,必修第一册,vocabulary,125,w,high
sr-B1-0014,anxious,adj.,"/""{NkS@s/",焦虑的；不安的,senior,1,B1,必修第一册,vocabulary,125,w,high
sr-B1-0015,apart,adv.,"/@""pA:t/",分离；分开；成碎片,senior,1,B1,必修第一册,vocabulary,125,3,high
sr-B1-0016,apartment,,"/@""pA:tm@nt/",公寓套房,senior,1,B1,必修第一册,vocabulary,125,5,high
sr-B1-0017,apply,vt.,"/@""plaI/",申请；请求vt应用；涂（油漆、乳剂）(2)118,senior,1,B1,必修第一册,vocabulary,125,2,high
sr-B1-0018,appreciate,vt.,"/@""pri:SieIt/",欣赏；重视；感激；领会vi增值,senior,1,B1,必修第一册,vocabulary,125,5,high
sr-B1-0019,architect,n.,"/""A:kItekt/",建筑设计师,senior,1,B1,必修第一册,vocabulary,125,2,high
sr-B1-0020,arrangement,n.,"/@""reIndZm@nt/",安排；筹备,senior,1,B1,必修第一册,vocabulary,125,2,high
sr-B1-0021,as if,,,似乎；好像；仿佛,senior,1,B1,必修第一册,vocabulary,125,4,high
