word_id,word,pos,phonetic,meaning_cn,primary_gloss,stage,year_band,gaokao_level,freq_rank,volume,volume_label,source_type,source_page,source_ref,confidence
sr-B1-0001,addict,n.,,对……入迷的人；吸毒成瘾的人,对……入迷的人,senior,1,1,10001,B1,必修第一册,vocabulary,125,1,high
sr-B1-0002,addicted to,,,对……很入迷,对……很入迷,senior,1,1,10002,B1,必修第一册,vocabulary,125,1,high
sr-B1-0003,advance,n.,"/@d""vA:ns/",前进；发展；发展；促进,前进,senior,1,1,10003,B1,必修第一册,vocabulary,125,1,high
sr-B1-0004,adventure,n.,"/@d""ventS@(r)/",冒险；奇遇,冒险,senior,1,1,10004,B1,必修第一册,vocabulary,125,1,high
sr-B1-0005,affair,n.,"/@""fe@(r)/",公共事务；事件；关系,公共事务,senior,1,1,10005,B1,必修第一册,vocabulary,125,5,high
sr-B1-0006,affect,vt.,"/@""fekt/",影响；（疾病）侵袭；深深打动,影响,senior,1,1,10006,B1,必修第一册,vocabulary,125,4,high
sr-B1-0007,aid,n.,/eId/,援助；帮助；救援物资；帮助；援助,援助,senior,1,1,10007,B1,必修第一册,vocabulary,125,4,high
sr-B1-0008,annoy,vt.,"/@""nOI/",使恼怒；打扰,使恼怒,senior,1,1,10008,B1,必修第一册,vocabulary,125,w,high
sr-B1-0009,anxious,adj.,,焦虑的；不安的,焦虑的,senior,1,1,10009,B1,必修第一册,vocabulary,125,w,high
sr-B1-0010,apply,vt.,"/@""plaI/",申请；请求；应用；涂（油漆、乳剂）(,申请,senior,1,1,10010,B1,必修第一册,vocabulary,125,2,high
sr-B1-0011,appreciate,vt.,"/@""pri:SieIt/",欣赏；重视；感激；领会；增值,欣赏,senior,1,1,10011,B1,必修第一册,vocabulary,125,5,high
sr-B1-0012,architect,n.,"/""A:kItekt/",建筑设计师,建筑设计师,senior,1,1,10012,B1,必修第一册,vocabulary,125,2,high
sr-B1-0013,arrangement,n.,"/@""reIndZm@nt/",安排；筹备,安排,senior,1,1,10013,B1,必修第一册,vocabulary,125,2,high
sr-B1-0014,as if,,,似乎；好像；仿佛,似乎,senior,1,1,10014,B1,必修第一册,vocabulary,125,4,high
sr-B1-0015,at last,,,终于；最终,终于,senior,1,1,10015,B1,必修第一册,vocabulary,125,w,high
sr-B1-0016,athlete,n.,,运动员；运动健儿,运动员,senior,1,1,10016,B1,必修第一册,vocabulary,125,3,high
sr-B1-0017,attitude,n.,,态度；看法,态度,senior,1,1,10017,B1,必修第一册,vocabulary,125,5,high
sr-B1-0018,attract,vt.,,吸引；引起……的注意（或兴趣）,吸引,senior,1,1,10018,B1,必修第一册,vocabulary,125,1,high
sr-B1-0019,be attracted to,,,喜爱,喜爱,senior,1,1,10019,B1,必修第一册,vocabulary,125,1,high
sr-B1-0020,audience,n.,"/""O:di@ns/",观众；听众,观众,senior,1,1,10020,B1,必修第一册,vocabulary,125,3,high
sr-B1-0021,awkward,adj.,"/""O:kw@d/",令人尴尬的；难对付的,令人尴尬的,senior,1,1,10021,B1,必修第一册,vocabulary,125,w,high
sr-B1-0022,ballet,n.,,芭蕾舞,芭蕾舞,senior,1,1,10022,B1,必修第一册,vocabulary,125,1,high
sr-B1-0023,base,vt.,/beIs/,以……为据点；以……为基础；底部；根据,以……为据点,senior,1,1,10023,B1,必修第一册,vocabulary,125,5,high
sr-B1-0024,bce,,"/%bi: si: ""i:/",公元前,公元前,senior,1,1,10024,B1,必修第一册,vocabulary,125,2,high
sr-B1-0025,beg,vt.,/beg/,恳求；祈求；哀求,恳求,senior,1,1,10025,B1,必修第一册,vocabulary,125,5,high
sr-B1-0026,behaviour,n.,"/bI""heIvj@(r)/",行为；举止,行为,senior,1,1,10026,B1,必修第一册,vocabulary,125,1,high
sr-B1-0027,billion,n.,"/""bIlj@n/",十亿,十亿,senior,1,1,10027,B1,必修第一册,vocabulary,125,5,high
sr-B1-0028,bone,n.,/b@Un/,骨头；骨（质）,骨头,senior,1,1,10028,B1,必修第一册,vocabulary,125,5,high
sr-B1-0029,boxing,n.,"/""bQksIN/",拳击（运动）,拳击（运动）,senior,1,1,10029,B1,必修第一册,vocabulary,125,3,high
sr-B1-0030,brick,n.,/brIk/,砖；砖块,砖,senior,1,1,10030,B1,必修第一册,vocabulary,125,4,high
sr-B1-0031,brochure,n.,"/""br@US@(r);NAmEbroU""Sur/",资料（或广告）手册,资料（或广告）手册,senior,1,1,10031,B1,必修第一册,vocabulary,126,2,high
sr-B1-0032,bury,vt.,"/""beri/",埋葬；安葬,埋葬,senior,1,1,10032,B1,必修第一册,vocabulary,126,4,high
sr-B1-0033,calm,adj.,/kA:m/,镇静的；沉着的；使平静；使镇静,镇静的,senior,1,1,10033,B1,必修第一册,vocabulary,126,4,high
sr-B1-0034,campus,n.,,校园；校区,校园,senior,1,1,10034,B1,必修第一册,vocabulary,126,w,high
sr-B1-0035,captain,,,运动队）队长；船长；机长,运动队）队长,senior,1,1,10035,B1,必修第一册,vocabulary,126,3,high
sr-B1-0036,carve,vi.,/kA:v/,雕刻,雕刻,senior,1,1,10036,B1,必修第一册,vocabulary,126,5,high
sr-B1-0037,castle,n.,"/""kA:sl/",城堡；堡垒,城堡,senior,1,1,10037,B1,必修第一册,vocabulary,126,2,high
sr-B1-0038,ce,,"/%si: ""i:/",公元,公元,senior,1,1,10038,B1,必修第一册,vocabulary,126,5,high
sr-B1-0039,champion,n.,,冠军；优胜者,冠军,senior,1,1,10039,B1,必修第一册,vocabulary,126,3,high
sr-B1-0040,check in,,,在旅馆、机场等）登记,在旅馆、机场等）登记,senior,1,1,10040,B1,必修第一册,vocabulary,126,2,high
sr-B1-0041,civilisation,n.,"/%sIv@laI""zeISn/",文明；文明世界,文明,senior,1,1,10041,B1,必修第一册,vocabulary,126,2,high
sr-B1-0042,come along,,,跟随；到达；进步；赶快,跟随,senior,1,1,10042,B1,必修第一册,vocabulary,126,3,high
sr-B1-0043,comment,n. vt.,"/""kQment/",议论；评论；发表意见；评论,议论,senior,1,1,10043,B1,必修第一册,vocabulary,126,2,high
