headword,pos,freq_rank
in,prep./adv./adj./n.,6
on,prep./adv./adj.,17
say,v./n.,19
as,adv./prep./conj.,33
go,v./n.,35
get,v./n.,39
all,adj./adv./pron./n.,43
make,v./n.,45
one,n./pron./num./adj.,51
time,n./v./adj.,52
take,v./n.,63
come,v./int.,70
day,n.,90
give,n./v.,98
even,adj./v./adv./n.,107
back,adj./v./adv./n.,108
good,n./adj.,110
child,n.,115
may,n./aux.,119
call,n./v.,122
world,n.,123
school,n./v.,125
feel,v./n.,134
become,v.,139
most,n./adj./adv.,144
family,n./adj.,147
leave,n./v.,150
put,v./n./adj.,151
mean,adj./v./n.,154
keep,n./v.,156
student,n.,157
let,v./n.,159
group,n./v.,163
country,n./adj.,166
hand,n./v.,174
might,n./aux.,175
part,n./v./adj./adv.,178
place,n./v.,181
case,n./v.,186
company,n./v.,189
system,n.,191
program,n./v.,194
government,n.,201
night,n.,209
live,adj./v./adv.,210
point,n./v.,211
hold,n./v.,213
bring,v.,215
million,n./num.,222
water,n./v./adj.,226
room,n./v.,227
mother,n./v.,229
area,n.,230
national,adj.,231
money,n.,232
story,n.,233
month,n.,236
different,adj.,237
study,n./v.,240
book,n./v.,241
eye,n./v.,242
job,n./v.,243
business,n.,246
issue,n./v.,248
side,n./adj./v.,249
black,n./adj.,253
house,n./v.,257
service,n./v./adj.,263
important,adj.,266
power,n./v.,271
line,n./v.,276
political,adj.,277
end,n./v.,278
stand,n./v.,281
pay,n./v.,286
law,n./v.,287
city,n.,290
set,n./v./adj.,294
community,n.,296
once,adv./conj./n./adj.,300
least,n./adj./adv.,302
learn,v.,304
team,n./v.,307
minute,n./v./adj.,308
best,adj./adv./n.,309
several,adj./pron.,310
idea,n.,311
information,n.,314
nothing,n./adv./int.,315
social,adj./n.,319
centre,n./adj./v.,327
parent,n.,327
face,n./v.,330
create,v.,332
public,n./adj.,333
level,n./adj./v.,338
office,n.,341
health,n.,344
person,n.,345
art,n.,346
history,n.,350
party,n./v.,351
result,n./v.,354
reason,n./v.,359
research,n./v.,362
guy,n./v.,364
food,n.,366
air,n./v.,370
teacher,n.,371
offer,n./v.,373
education,n.,376
foot,n./v.,380
second,n./adj./num./v.,381
age,n./v.,386
policy,n.,388
process,n./v./adj.,391
music,n.,392
human,n./adj.,399
market,n./v.,402
sense,n./v.,407
fall,n./v./adj.,410
plan,n./v.,413
cut,n./adj./v.,414
college,n.,415
interest,n./v.,416
course,n./v.,418
experience,n./v.,420
local,adj./n.,423
effect,n./v.,427
class,n./v.,431
control,n./v.,432
care,n./v.,434
hard,adj./adv.,438
field,n./v./adj.,439
pass,n./v.,441
former,adj./n.,442
major,n./adj./v.,444
development,n.,448
report,n./v.,450
role,n.,451
better,adj./adv.,452
economic,adj.,453
rate,n./v.,457
heart,n./v.,460
light,n./adj./v./adv.,464
police,n./v.,468
mind,n./v.,469
pull,v./n.,471
return,n./adj./v.,472
price,n./v.,475
decision,n.,479
view,n./v.,485
relationship,n.,486
carry,n./v.,487
town,n.,488
road,n.,489
break,n./v.,494
difference,n.,496
value,n./v.,499
international,adj./n.,500
building,n.,501
action,n./v.,502
model,n./adj./v.,504
season,n./v.,506
director,n.,510
position,n./v.,512
player,n.,513
record,n./v./adj.,516
pick,n./v.,517
wear,n./v.,518
paper,n./v./adj.,519
special,n./adj.,520
space,n./v.,521
ground,n./adj./v.,522
form,n./v.,523
support,n./v.,524
event,n.,525
center,n./adj./v.,530
site,n./v.,532
project,n./v.,534
hit,n./v.,535
activity,n.,537
star,n./v.,538
table,n./v.,539
oil,n./v.,546
cost,n./v.,550
industry,n.,551
figure,n./v.,552
street,n./adj.,554
image,n./v.,555
phone,n./v.,557
data,n.,559
cover,n./v.,560
picture,n./v.,562
clear,adj./adv./v./n.,563
practice,n./v.,564
land,n./v.,566
product,n.,569
doctor,n./v.,570
wall,n./adj./v.,571
worker,n.,573
test,n./v.,575
movie,n.,576
personal,adj.,580
third,num.,584
technology,n.,585
catch,n./v.,586
computer,n.,589
type,n./v.,590
attention,n.,591
film,n./v.,593
organization,n.,595
tree,n./v.,596
source,n.,597
cause,n./v.,601
century,n.,605
evidence,n.,606
window,n./v.,607
difficult,adj.,608
culture,n./v.,611
chance,n./v.,613
energy,n.,615
period,n./adj./int.,617
summer,n./v.,619
available,adj.,622
plant,n./v.,623
opportunity,n.,625
term,n./v.,626
short,adj./adv./n./v.,627
letter,n./v.,628
condition,n./v.,629
choice,n./adj.,630
single,adj./n./v.,632
rule,n./v.,633
administration,n.,635
congress,n.,638
campaign,n./v.,640
material,n./adj.,641
population,n.,642
economy,n.,645
medical,n./adj.,646
hospital,n.,647
church,n./v./adj.,648
thousand,num./adj./n.,651
current,n./adj.,652
fire,n./v.,653
future,n./adj.,654
involve,v.,656
behavior,n.,658
bank,n.,663
west,n./adj./adv.,665
sport,n./adj./v.,666
board,n./v.,667
per,prep.,669
subject,n./adj./adv./v.,670
officer,n./v.,671
private,adj./n.,672
performance,n.,675
top,n./adj./v.,678
goal,n./v.,681
order,n./v.,684
author,n.,685
represent,v.,687
focus,n./v.,688
foreign,adj.,689
drop,n./v.,690
blood,n./v.,692
agency,n.,694
nature,n.,696
color,n./v.,697
store,n./v./adj.,700
sound,n./adj./adv./v.,702
fine,n./adj./v./adv.,704
common,adj.,710
natural,n./adj.,715
concern,n./v.,717
series,n.,718
significant,adj.,719
similar,adj./n.,720
language,n.,722
response,n.,725
animal,n.,728
factor,n.,729
decade,n.,730
article,n.,731
stock,n./adj./v.,740
career,n.,741
central,adj.,743
treatment,n.,745
approach,n./v.,750
size,n./v./adj.,752
serious,adj.,755
occur,v.,756
media,n.,757
sign,n./v.,759
thought,n.,760
list,n./v.,761
individual,n./adj.,762
simple,adj./n.,763
quality,n./adj.,764
pressure,n./v.,765
resource,n.,769
identify,v.,770
meeting,n.,772
prepare,v.,774
disease,n.,775
whatever,pron.,776
argue,v.,778
cup,n./v.,780
amount,n./v.,782
ability,n.,783
staff,n./adj./v.,784
growth,n.,787
loss,n.,788
degree,n.,789
attack,n./v.,791
region,n.,793
television,n.,794
training,n.,796
trade,n./v.,800
physical,adj./n.,802
lay,v./n./adj.,803
general,n./adj.,804
standard,n./adj.,806
analysis,n.,811
benefit,n./v.,812
sex,n./v.,814
lawyer,n.,816
present,n./adj./v.,817
section,n./v.,818
environmental,adj.,819
glass,n./v.,820
skill,n.,821
professor,n.,825
financial,adj.,827
crime,n.,828
stage,n./v.,829
compare,v./n.,831
authority,n.,832
design,n./v.,834
sort,n./v.,835
knowledge,n.,839
station,n./v.,841
strategy,n.,844
example,n.,852
check,n./v.,854
environment,n.,855
dark,n./adj.,857
various,adj.,859
executive,n./adj.,863
hang,n./v.,867
rock,n./v.,869
claim,n./v.,874
manager,n.,877
network,n.,882
legal,adj.,883
final,n./adj.,887
main,n./adj.,888
science,n.,889
green,n./adj.,890
card,n./v.,892
seat,n./v.,894
establish,v.,896
trial,n./adj.,898
expert,n./adj.,899
spring,n./adj./v.,901
firm,n./adj./v./adv.,902
radio,n./v.,904
management,n.,906
avoid,v.,908
theory,n.,918
impact,n./v.,919
statement,n.,921
maintain,v.,922
charge,n./v.,923
