headword,pos,freq_rank
state,n./adj./v.,137
might,n./aux.,175
part,n./v./adj./adv.,178
against,prep.,180
system,n.,191
government,n.,201
point,n./v.,211
happen,v.,216
area,n.,230
national,adj.,231
fact,n.,235
business,n.,246
issue,n./v.,248
provide,v.,262
power,n./v.,271
line,n./v.,276
political,adj.,277
lose,v.,283
however,adv./conj.,284
law,n./v.,287
include,v.,292
continue,v.,293
later,adv.,295
community,n.,296
least,n./adj./adv.,302
president,n.,303
real,adj./n./adv.,305
team,n./v.,307
kid,n./adj./v.,312
lead,n./v./adj.,318
social,adj./n.,319
follow,v./n.,325
centre,n./adj./v.,327
create,v.,332
public,n./adj.,333
level,n./adj./v.,338
allow,v.,339
add,v.,340
art,n.,346
war,n./v./adj.,349
history,n.,350
within,n./adv./prep.,352
result,n./v.,354
programme,n./v.,360
win,v./n.,361
research,n./v.,362
guy,n./v.,364
force,n./v.,372
offer,n./v.,373
education,n.,376
although,conj.,378
toward,prep./adj.,384
policy,n.,388
process,n./v./adj.,391
consider,v.,394
appear,v.,395
human,n./adj.,399
sense,n./v.,407
nation,n.,412
interest,n./v.,416
death,n.,417
course,n./v.,418
experience,n./v.,420
reach,n./v.,422
local,adj./n.,423
kill,n./v.,425
remain,v.,426
effect,n./v.,427
control,n./v.,432
perhaps,adv.,435
former,adj./n.,442
major,n./adj./v.,444
require,v.,446
role,n.,451
economic,adj.,453
effort,n.,454
rate,n./v.,457
drug,n./v.,461
voice,n./v.,465
whole,n./adj.,467
police,n./v.,468
finally,adv.,470
military,n./adj.,474
less,n./adj./adv.,477
decision,n.,479
explain,v.,480
view,n./v.,485
relationship,n.,486
federal,adj.,493
difference,n.,496
value,n./v.,499
international,adj./n.,500
action,n./v.,502
model,n./adj./v.,504
society,n.,507
tax,n./v.,509
director,n.,510
position,n./v.,512
especially,adv.,515
record,n./v./adj.,516
special,n./adj.,520
space,n./v.,521
support,n./v.,524
event,n.,525
official,n./adj.,526
couple,n./v.,531
site,n./v.,532
project,n./v.,534
hit,n./v.,535
base,n./v./adj.,536
activity,n.,537
court,n./v.,541
produce,n./v.,542
oil,n./v.,546
situation,n.,548
industry,n.,551
figure,n./v.,552
image,n./v.,555
phone,n./v.,557
data,n.,559
recent,adj.,567
describe,v.,568
product,n.,569
patient,n./adj.,572
test,n./v.,575
movie,n.,576
certain,adj.,577
personal,adj.,580
technology,n.,585
step,n./v.,587
type,n./v.,590
attention,n.,591
republican,n./adj.,594
organization,n.,595
source,n.,597
choose,v.,600
cause,n./v.,601
century,n.,605
evidence,n.,606
culture,n./v.,611
billion,num.,612
chance,n./v.,613
energy,n.,615
period,n./adj./int.,617
available,adj.,622
likely,adj./adv.,624
opportunity,n.,625
term,n./v.,626
condition,n./v.,629
choice,n./adj.,630
rule,n./v.,633
administration,n.,635
congress,n.,638
campaign,n./v.,640
material,n./adj.,641
population,n.,642
economy,n.,645
medical,n./adj.,646
church,n./v./adj.,648
risk,n./v.,650
current,n./adj.,652
involve,v.,656
behavior,n.,658
anyone,pron.,659
increase,n./v.,660
security,n.,661
board,n./v.,667
seek,v.,668
officer,n./v.,671
private,adj./n.,672
deal,n./v.,674
performance,n.,675
fight,n./v.,676
top,n./adj./v.,678
goal,n./v.,681
author,n.,685
represent,v.,687
focus,n./v.,688
drop,n./v.,690
blood,n./v.,692
upon,prep.,693
agency,n.,694
nature,n.,696
color,n./v.,697
reduce,v.,701
movement,n.,707
enter,v.,709
common,adj.,710
share,n./v.,711
natural,n./adj.,715
race,n./v.,716
concern,n./v.,717
series,n.,718
significant,adj.,719
response,n.,725
rise,n./v.,727
factor,n.,729
decade,n.,730
article,n.,731
shoot,n./v.,732
save,n./v./prep.,735
artist,n.,736
scene,n.,738
stock,n./adj./v.,740
career,n.,741
despite,n./prep.,742
central,adj.,743
thus,adv.,744
beyond,prep./adv./n.,746
protect,v.,749
approach,n./v.,750
fund,n./v.,754
serious,adj.,755
occur,v.,756
sign,n./v.,759
thought,n.,760
list,n./v.,761
individual,n./adj.,762
quality,n./adj.,764
pressure,n./v.,765
accept,v.,766
resource,n.,769
identify,v.,770
mile,n.,772
determine,v.,773
prepare,v.,774
disease,n.,775
whatever,pron.,776
success,n.,777
argue,v.,778
recognize,v.,779
amount,n./v.,782
ability,n.,783
staff,n./adj./v.,784
indicate,v.,785
character,n.,786
growth,n.,787
loss,n.,788
degree,n.,789
wonder,n./v.,790
attack,n./v.,791
region,n.,793
training,n.,796
pretty,adj./adv.,797
trade,n./v.,800
physical,adj./n.,802
lay,v./n./adj.,803
general,n./adj.,804
feeling,n./adj.,805
standard,n./adj.,806
message,n./v.,807
analysis,n.,811
benefit,n./v.,812
sex,n./v.,814
lawyer,n.,816
section,n./v.,818
skill,n.,821
professor,n.,825
operation,n.,826
financial,adj.,827
crime,n.,828
stage,n./v.,829
compare,v./n.,831
authority,n.,832
design,n./v.,834
sort,n./v.,835
act,n./v.,837
knowledge,n.,839
gun,n.,840
strategy,n.,844
indeed,adv.,848
truth,n.,850
democratic,adj.,853
environment,n.,855
various,adj.,859
rather,adv.,860
executive,n./adj.,863
prove,v.,866
hang,n./v.,867
entire,n./adj.,868
rock,n./v.,869
claim,n./v.,874
remove,v./n.,876
network,n.,882
legal,adj.,883
religious,adj./n.,884
cold,n./adj./adv.,885
final,n./adj.,887
main,n./adj.,888
memory,n.,891
cell,n.,895
establish,v.,896
trial,n./adj.,898
expert,n./adj.,899
firm,n./adj./v./adv.,902
management,n.,906
avoid,v.,908
imagine,v.,909
huge,adj.,911
theory,n.,918
impact,n./v.,919
respond,v.,920
statement,n.,921
maintain,v.,922
charge,n./v.,923
popular,adj.,924
onto,prep.,926
reveal,v./n.,927
direction,n.,928
weapon,n./v.,929
employee,n.,930
contain,v.,931
peace,n./v.,933
pain,n./v.,937
apply,v.,938
measure,n./v.,941
shake,n./v.,942
interview,n./v.,944
manage,v.,945
particular,n./adj.,948
camera,n.,949
structure,n./v.,950
politics,n.,951
perform,v.,953
discover,v.,956
candidate,n.,957
production,n.,959
treat,n./v.,960
affect,v./n.,963
inside,n./adj./adv./prep.,964
conference,n.,965
unit,n./adj.,966
style,n./v.,968
adult,n./adj.,969
range,n./v.,972
edge,n./v.,977
specific,n./adj.,979
throughout,adv./prep.,983
challenge,n./v.,984
fear,n./v.,985
shoulder,n./v.,986
institution,n.,987
dream,n./v.,990
bar,n./v.,991
property,n.,993
goods,n.,995
improve,v.,995
stuff,n./v.,996
detail,n./v.,997
method,n.,998
magazine,n.,1001
reflect,v.,1004
heat,n./v.,1009
marriage,n.,1011
tough,n./adj.,1012
purpose,n./v.,1014
exist,v.,1016
pattern,n./v.,1017
realise,v.,1018
skin,n./v.,1019
agent,n.,1020
owner,n.,1021
gas,n.,1023
generation,n.,1026
commercial,adj./n.,1027
address,n./v.,1028
cancer,n.,1029
item,n.,1031
reality,n.,1032
coach,n./v.,1033
means,n.,1033
yard,n.,1035
violence,n.,1037
total,adj./v./n./adv.,1038
tend,v.,1039
investment,n.,1040
finger,n./v.,1042
notice,n./v.,1044
collection,n.,1045
task,n./v.,1047
partner,n./v.,1048
positive,adj.,1049
civil,adj.,1050
shot,n./v./adj.,1053
budget,n./v./adj.,1054
painting,n.,1056
scientist,n.,1057
safe,n./adj.,1058
capital,n./adj.,1061
victim,n.,1063
threat,n.,1066
responsibility,n.,1067
attorney,n.,1069
score,n./v.,1070
account,n./v.,1071
audience,n.,1074
vote,n./v.,1078
relate,v.,1080
debate,n./v.,1082
prevent,v.,1083
citizen,n.,1084
majority,n.,1085
born,adj.,1088
admit,v.,1089
senior,n./adj.,1090
assume,v.,1091
professional,n./adj.,1094
mission,n./v.,1095
alone,adj./adv.,1097
customer,n.,1098
suffer,v.,1099
speech,n.,1100
successful,adj.,1101
option,n.,1102
participant,n./adj.,1103
southern,n./adj.,1105
eventually,adv.,1106
university,n.,1106
fresh,adj./adv./n.,1107
forest,n./v.,1108
video,n./adj.,1109
global,adj.,1110
senate,n.,1111
reform,n./v.,1112
access,n./v.,1113
judge,n./v.,1115
publish,v.,1116
relation,n.,1118
release,n./v.,1120
labor,n./v.,1123
opinion,n.,1124
critical,adj.,1126
recall,n./v.,1129
version,n.,1130
stare,v./n.,1131
safety,n./v.,1132
effective,adj./n.,1133
neighborhood,n.,1134
original,adj./n.,1135
troop,n./v.,1137
income,n.,1138
directly,adv./conj.,1139
hurt,n./v.,1140
species,n.,1141
track,n./v.,1143
basic,n./adj.,1144
strike,n./v.,1145
freedom,n.,1148
achieve,v.,1152
object,n./v.,1153
attitude,n.,1155
refer,v.,1156
client,n.,1157
concept,n.,1158
powerful,adj.,1159
therefore,adv.,1161
conduct,n./v.,1162
announce,v.,1163
examine,v.,1165
touch,n./v.,1166
attend,v.,1168
variety,n.,1171
nuclear,adj.,1176
press,n./v.,1178
conflict,n./v.,1179
spirit,n./v.,1180
replace,v.,1182
encourage,v.,1184
argument,n.,1185
camp,n./v.,1188
brain,n./v.,1189
feature,n./v.,1190
dozen,n./adj.,1194
possibility,n.,1195
insurance,n.,1197
department,n.,1198
battle,n./v.,1199
beginning,n.,1200
crisis,n.,1206
complete,adj./v.,1207
fan,n./v.,1208
stick,n./v.,1209
define,v.,1210
hole,n./v.,1213
element,n.,1214
status,n.,1215
vision,n./v.,1216
normal,n./adj.,1217
stone,n./v./adj.,1220
solution,n.,1221
scale,n./v.,1223
introduce,v.,1225
attempt,n./v.,1227
spot,n./adj./v.,1228
lack,n./v.,1229
distance,n.,1235
wood,n./v.,1236
truck,n./v.,1237
handle,n./v.,1238
survey,n./v.,1241
tradition,n.,1243
refuse,v./n./adj.,1247
roll,n./v.,1249
communication,n.,1250
screen,n./v.,1252
gain,n./v.,1253
resident,n./adj.,1254
hide,n./v.,1255
gold,n./adj.,1256
club,n./v./adj.,1257
potential,n./adj.,1260
presence,n.,1264
independent,n./adj.,1265
district,n.,1266
shape,n./v.,1267
reader,n.,1268
contract,n./v.,1269
crowd,n./v.,1270
express,n./adj./v.,1272
apartment,n.,1273
willing,adj.,1274
strength,n.,1275
previous,adj.,1276
band,n./v.,1277
target,n./v.,1281
prison,n./v.,1282
guard,n./v.,1284
reporter,n.,1286
demand,n./v.,1287
deliver,v.,1288
tool,n./v.,1291
wild,n./adj./adv.,1292
vehicle,n.,1293
observe,v.,1294
facility,n.,1297
understanding,n.,1298
average,n./adj./v.,1299
emerge,v.,1300
advantage,n./v.,1301
leadership,n.,1304
earn,v.,1305
pound,n./v.,1306
basis,n.,1307
operate,v.,1309
sample,n./v.,1311
contribute,v.,1312
tiny,adj.,1313
settle,n./v.,1316
feed,n./v.,1317
collect,v./adj./adv.,1318
additional,adj.,1319
highly,adv.,1320
identity,n.,1322
title,n./v.,1323
mostly,adv.,1324
faith,n.,1326
promote,v.,1328
living,n./adj.,1329
count,v./n.,1331
unless,conj./prep.,1332
marry,v.,1333
technique,n.,1335
path,n.,1336
folk,n./adj.,1339
principle,n.,1341
survive,v.,1342
lift,n./v.,1343
border,n./v.,1344
competition,n.,1345
gather,n./v.,1347
limit,n./v.,1348
equipment,n.,1352
associate,n./v.,1354
critic,n.,1355
aspect,n.,1357
insist,v.,1359
failure,n.,1360
annual,n./adj.,1361
comment,n./v.,1363
affair,n.,1364
responsible,adj.,1365
procedure,n.,1369
regular,adj./n./adv.,1370
spread,n./adj./v.,1371
chairman,n.,1372
baseball,n.,1373
soft,adj./n./adv.,1374
ignore,v.,1375
belief,n.,1378
demonstrate,v.,1379
murder,n./v.,1381
religion,n.,1383
review,n./v.,1384
editor,n.,1385
engage,v.,1387
document,n./v.,1389
speed,n./v.,1390
cross,n./adj./v.,1391
influence,n./v.,1392
anyway,adv.,1393
commit,v.,1394
threaten,v.,1395
female,n./adj.,1396
youth,n.,1397
wave,n./v.,1398
background,n.,1402
native,n./adj.,1403
broad,adj./adv./n.,1404
wonderful,adj.,1405
deny,v.,1406
suit,n./v.,1411
perspective,n./adj.,1412
construction,n.,1415
intelligence,n.,1417
destroy,v.,1418
connection,n.,1421
burn,v./n.,1422
neighbor,n./v./adj.,1424
context,n.,1427
committee,n.,1428
location,n.,1433
promise,n./v.,1438
aware,adj.,1439
function,n./v.,1442
bone,n./v.,1443
active,adj./n.,1444
extend,v.,1445
chief,n./adj.,1446
combine,v./n.,1448
wine,n./v.,1449
learning,n.,1455
hell,n./v.,1456
dangerous,adj.,1457
remind,v.,1458
moral,n./adj.,1459
category,n.,1461
victory,n.,1463
academic,adj./n.,1465
internet,,1467
negative,n./adj.,1470
following,n./adj.,1471
historical,adj.,1472
tour,n./v.,1474
depend,v.,1475
finding,n.,1476
grab,n./v.,1477
direct,adj./v./adv.,1478
contact,n./v.,1480
justice,n.,1481
participate,v.,1482
daily,adj./adv./n.,1483
fair,n./adj./adv./v.,1484
knee,n./v.,1488
tape,n./v.,1490
hire,n./v.,1491
familiar,adj./n.,1492
appropriate,adj.,1493
supply,n./v.,1494
actor,n.,1497
birth,n.,1499
search,n./v.,1500
tie,n./v.,1501
democracy,n.,1502
eastern,n./adj.,1503
primary,n./adj.,1504
circle,n./v.,1506
device,n.,1507
progress,n./v.,1508
