headword,pos,freq_rank,cefr
a bit,,,A2
a bottle of,,,A2
a few,,,A2
a good read,,,A2
a great deal,,,A2
a lot,,,A2
a lot of,,,A2
a number of,,,A2
absent from,,,A2
absorbed,a,,B2
according to,,,A2
account for,,,B1
across from,,,A2
act out,,,A2
additionally,adv,,B2
adulthood,n,,B2
afloat,a/adv,,B2
african,n/a,,B1
after all,,,A2
against the law,,,A2
agony aunt,n,,B1
agree with,,,A2
ah,,,B1
ahead of,,,A2
ai,,,B1
alarm clock,,,A2
alarming,a,,B2
all of a sudden,,,A2
all over,,,A2
all smiles,,,A2
along with,,,A2
am,,,B1
amazed,a,,B2
amber,n/a,,B1
american,n/a,,B1
amusement park,,,B1
annoyance,n,,B2
annoyed,a,,B2
answer the call,,,B1
antelope,n,,B2
app,,,B1
apparently,adv,,B2
appointed,,,B2
appreciative,a,,B2
archaeologist,n,,B1
around the world,,,A2
artificial intelligence,,,A2
artwork,n,,B1
as a result,,,A2
as dead as a dodo,,,A2
as happy as a clam,,,A2
as long as,,,A2
as soon as,,,A2
as well,,,A2
asian,n/a,,B1
at all costs,,,A2
at first,,,A2
at home,,,A2
at least,,,A2
at night,,,A2
at school,,,A2
at the back of,,,A2
at the end,,,A2
at the moment,,,A2
at the same time,,,A2
at the start,,,A2
at the top,,,A2
at the top of,,,A2
at weekends,,,A2
atop,adv/prep,,B2
au revoir,n,,A2
australian,n/a,,B1
autopilot,,,B1
backboard,n,,B2
backup,n/vt/a,,B2
backwards,adv,,B2
backyard,n,,B2
bank on,,,B1
barefoot,a,,B2
base camp,,,A2
base on,v,,A2
battlefield,n,,B2
be about to,,,A2
be careful with,,,A2
be flooded with,,,A2
be fond of,,,B1
be hard on,,,A2
be harmful to,,,A2
be home to,,,B1
be involved in,,,B1
be known for,,,A2
be native to,,,B1
be proud of,,,A2
be responsible for,,,A2
be thirsty for,,,A2
be tired of,,,A2
be used to,,,A2
be yourself,,,A2
beach volleyball,,,A2
because of,,,A2
bedside,n/a,,B2
bee-keeping,,,B1
believable,a,,B1
believe in,,,A2
belong to,,,A2
best-seller,n,,B2
biomimicry,,,B2
birthmark,n,,B1
bit by bit,,,A2
bite through,,,A2
bittersweet,a,,B2
bleeding,n,,B2
blog,n,,B2
blogger,n,,B2
blow out,,,A2
boarding school,,,A2
body language,n,,B1
boiling,a/adv,,B1
bookish,a,,B2
boyhood,n,,B2
break down,,,A2
brightly,adv,,B1
bring back,,,A2
bring out,,,A2
bring up,,,B1
britain,n,,B1
british,a/n,,B1
bruised,a,,B1
