headword,pos,freq_rank,cefr
add sth to sth,,,A2
along with sb/sth,,,A2
argue with sb,,,A2
be connected to,,,A2
be connected with,,,A2
be friends with sb.,,,A2
be glued to sth,,,A2
be hard on sb.,,,A2
be home to sb/sth,,,A2
be ready,,,A2
be thankful to sb.,,,A2
cut sth in/into sth,,,A2
depend on,,,A2
depend upon,,,A2
drive sb. crazy,,,A2
drop sb a line,,,A2
feel free (to do sth),,,A2
fight against sb/sth,,,A2
get ready,,,A2
get to one's feet,,,A2
give sb a lift,,,A2
go out of one's way,,,A2
have sth in common,,,A2
help sb with,,,A2
keep on doing sth,,,A2
keep one's cool,,,A2
kick sb. off,,,A2
lend sb a hand,,,A2
lift sb's spirits,,,A2
make one's own decision,,,A2
make sb's bed,,,A2
make up one's mind,,,B1
move on (to sth),,,A2
pour sth into sth,,,A2
prepare sth for,,,A2
pull one's weight,,,B1
put oneself in sb's shoes,,,A2
put sth back,,,A2
put sth. to good use,,,A2
ready to do sth,,,A2
run for one's life,,,B1
run low (on sth),,,A2
share sth with sb,,,A2
show interest in sth,,,A2
show sb around,,,A2
stick to sth,,,A2
stop sth from doing,,,A2
succeed in doing sth,,,A2
take sb's breath away,,,A2
take sb's temperature,,,A2
tend to do sth,,,B1
throw oneself into,,,B1
to sb's surprise,,,A2
try one's best,,,A2
unlock the secrets of sth,,,A2
