headword,pos,freq_rank
can,v./n./aux.,37
way,n./adv.,84
well,n./v./adj./adv./int.,100
even,adj./v./adv./n.,107
down,adj./adv./prep./n.,118
still,n./v./adj./adv./conj.,126
mean,adj./v./n.,154
company,n./v.,189
system,n.,191
issue,n./v.,248
head,n./v./adj.,251
long,adj./v./adv./n.,254
house,n./v.,257
provide,v.,262
stand,n./v.,281
community,n.,296
team,n./v.,307
minute,n./v./adj.,308
lead,n./v./adj.,318
understand,v.,320
watch,n./v.,323
face,n./v.,330
party,n./v.,351
reason,n./v.,359
moment,n.,369
air,n./v.,370
offer,n./v.,373
education,n.,376
age,n./v.,386
process,n./v./adj.,391
consider,v.,394
appear,v.,395
actually,adv.,396
human,n./adj.,399
interest,n./v.,416
effect,n./v.,427
suggest,v.,430
raise,n./v.,433
former,adj./n.,442
major,n./adj./v.,444
role,n.,451
economic,adj.,453
decide,v.,456
pull,v./n.,471
military,n./adj.,474
develop,v.,484
federal,adj.,493
action,n./v.,502
join,v./n.,505
season,n./v.,506
tax,n./v.,509
wear,n./v.,518
official,n./adj.,526
couple,n./v.,531
site,n./v.,532
project,n./v.,534
court,n./v.,541
produce,n./v.,542
figure,n./v.,552
image,n./v.,555
cover,n./v.,560
land,n./v.,566
recent,adj.,567
attention,n.,591
draw,v./n.,592
nearly,adv.,599
choose,v.,600
cause,n./v.,601
evidence,n.,606
culture,n./v.,611
billion,num.,612
chance,n./v.,613
realize,v.,616
period,n./adj./int.,617
available,adj.,622
opportunity,n.,625
term,n./v.,626
condition,n./v.,629
choice,n./adj.,630
rule,n./v.,633
administration,n.,635
congress,n.,638
campaign,n./v.,640
close,n./adj./v./adv.,649
risk,n./v.,650
current,n./adj.,652
involve,v.,656
defense,n.,657
behavior,n.,658
security,n.,661
board,n./v.,667
private,adj./n.,672
deal,n./v.,674
performance,n.,675
throw,v./n.,677
goal,n./v.,681
represent,v.,687
focus,n./v.,688
recently,adv.,699
reduce,v.,701
note,n./v.,703
fine,n./adj./v./adv.,704
natural,n./adj.,715
race,n./v.,716
significant,adj.,719
dead,adj./n./adv.,726
factor,n.,729
article,n.,731
save,n./v./prep.,735
scene,n.,738
stock,n./adj./v.,740
career,n.,741
treatment,n.,745
approach,n./v.,750
fund,n./v.,754
serious,adj.,755
occur,v.,756
media,n.,757
ready,n./adj./adv./v.,758
thought,n.,760
quality,n./adj.,764
pressure,n./v.,765
resource,n.,769
identify,v.,770
determine,v.,773
recognize,v.,779
amount,n./v.,782
ability,n.,783
staff,n./adj./v.,784
